prid,title,location,time_published,price,area,price_per_m2,bedrooms,bathrooms,agent_name,product_url,agent_avatar,main_image,other_images,description
38949851,"Mặt tiền kinh doanh Vườn Lài bán đất 2300m2 - 180 tỷ khu VIP phường Tân Thành, Quận Tân Phú","·
Tân Phú, Hồ Chí Minh",08/01/2024,180 tỷ,2.300 m²,"78,26 tr/m²",,,‎Công Ty Tnhh Đầu Tư - Bđs- Đầu Tư Thành Công Group,https://batdongsan.com.vn/nha-dat-ban/ban-dat-duong-vuon-lai-phuong-tan-thanh/mat-tien-kinh-doanh-ban-2300m2-180-ty-khu-vip-quan-phu-pr38949851,,https://file4.batdongsan.com.vn/crop/562x284/2024/01/05/20240105115527-c08f_wm.jpg,"['https://file4.batdongsan.com.vn/crop/140x140/2024/01/05/20240105115527-1131_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/05/20240105155923-a282_wm.jpg']","- Mặt tiền kinh doanh Vườn Lài bán đất khu VIP phường Tân Thành, quận Tân Phú. - Diện tích: 2.300 m² (25m x 68m) NH 40m. - Diện tích rộng rãi, phù hợp xây dựng nhiều loại công trình: Biệt thự, trường học, cao ốc văn phòng, nhà xưởng,... - Vị trí: Nằm ngay đoạn xung nhất đường Vườn Lài và Luỹ Bán Bích. - Pháp lý đầy đủ, sang tên nhanh chóng. - Tiện ích xung quanh: - Gần chợ, trường học, bệnh viện, trung tâm thương mại, - Giao thông thuận tiện, kết..."
31684491,"RỔ HÀNG Q7 SAIGON RIVERSIDE 1PN 1.7 TỶ 2PN 2.2 TỶ, 3PN 3.6 TỶ GIÁ THIỆN CHÍ NHẤT 0965 431 ***","·
Quận 7, Hồ Chí Minh",08/01/2024,"1,7 tỷ","53,2 m²","31,96 tr/m²",1,1,‎Hảo,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/chuyen-tat-ca-ro-hang-re-nhat-du-an-53m2-gia-1-8ty-lh-0706679167-pr31684491,,https://file4.batdongsan.com.vn/crop/562x284/2021/12/03/20211203130418-4d63_wm.jpg,"['https://file4.batdongsan.com.vn/crop/140x140/2021/12/03/20211203130418-af62_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/04/20/20230420193223-b91d_wm.jpg']","Chuyên tất cả rổ hàng rẻ nhất dự án Q7 Saigon Riverside, 0965 431 ***Diện tích căn hộ.- Căn 1PN: 53,2m² giá 1.7tỷ. - Căn 2PN: 66m², 69m², 73m² giá 2.2 tỷ. - Căn 3PN: 85m² giá 3.6 tỷ.Tổng quan dự án: Vị trí: Đường Đào Trí, Phường Phú Thuận, Quận 7, TP. HCM. Diện tích toàn khu đất: 75.224,5m². Số block: 05. Số tầng: 34 tầng. Số tầng hầm: 01 tầng. Số căn hộ: 3.580 (04 block; diện tích từ 53,2 - 86,69m²). Số căn office: 12 căn. Số căn trệt thương mại:..."
38762922,Chuyên mua bán-chuyển nhượng căn hộ Vinhomes Central Park (1-2-3-4 phòng ngủ-Penthouse L81),"·
Bình Thạnh, Hồ Chí Minh",08/01/2024,"7,7 tỷ",100 m²,77 tr/m²,3,2,‎Dt Homes,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/chuyen-mua-ban-chuyen-nhuong-vinmescentralpark-1-2-3-4-png-ngu-pentuse-spuse-l81-pr38762922,https://file4.batdongsan.com.vn/resize/200x200/2023/12/11/20231211174044-2b6d.jpg,https://file4.batdongsan.com.vn/crop/562x284/2023/12/11/20231211161528-6533_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2023/12/11/20231211161528-6533_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2023/12/11/20231211161528-ed47_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/12/11/20231211161528-2c5e_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/12/11/20231211161528-0390_wm.jpg']","Giỏ hàng nắm nhiều căn giá ngộp cần bán gấp có thể mua đầu tư hoặc để ở - Vui lòng liên hệ 0945 476 *** để được hỗ trợ tư vấn nhanh nhất.- Căn hộ Studio 36m²: 3tỷ3 - 3tỷ3. - Căn hộ 1 PN 56m²: + Officetel (OT) có thể ở và làm văn phòng: 3 tỷ - 3,8tỷ. + Sở hữu lâu dài: 3ty8 - 4ty5. - Căn hộ 2 PN 62m², 77m², 85m², 88m², 92m². + Officetel (OT) có thể ở và làm văn phòng: 4.5 tỷ 6 tỷ. + Sở hữu lâu dài: 6 tỷ - 7.5 tỷ. - Căn hộ 3 PN 94m², 100m², 105m², 115..."
38698799,"Chính chủ cần bán gấp căn hộ Diamond trong tháng này tại 136 Hồ Tùng Mậu, giá siêu rẻ","·
Bắc Từ Liêm, Hà Nội",08/01/2024,Giá thỏa thuận,135 m²,,3,2,‎Thiên Hương,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-diamond-goldmark-city/chinh-chu-ban-goc-3-ngu-toa-goldmark-pr38698799,,https://file4.batdongsan.com.vn/crop/562x284/2024/01/05/20240105163126-484c_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2024/01/05/20240105163126-484c_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2024/01/05/20240105163126-3f46_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/05/20240105163125-3e09_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/05/20240105163126-3fb9_wm.jpg']","Nhà tôi chuyển xuống mặt đất nên bán căn góc 3 phòng ngủ, diện tích 135m². Toà VIP nhất khu Goldmark City. Nhìn ra đường Hồ Tùng Mậu, 1 sàn chỉ có 8 căn hộ. Mật độ cư dân ít, thang máy 5 thang. Không bao giờ phải xếp hàng như khu R, khu S. Toà Diamond độc lập, thuận tiện đường sá, có siêu thị Easy mart tầng 1. - Khu vui chơi rộng rãi, có sân bóng, sân cầu lông, nhà cộng đồng rộng đẹp. - Nhà có 3 phòng ngủ, 1 phòng khách, 2 vệ sinh. Phòng master c..."
38749795,"Bán biệt thự song lập Hải Âu 3 đối diện khu phố chợ đêm HA16, Vinhomes Ocean Park Gia Lâm -20,x tỷ.","·
Gia Lâm, Hà Nội",08/01/2024,Giá thỏa thuận,150 m²,,,,‎Nguyễn Văn Hưng,https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-duong-hai-au-3-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-song-lap-3-doi-dien-khu-pho-cho-dem-tai-21-x-ty-bp-pr38749795,,https://file4.batdongsan.com.vn/crop/562x284/2023/12/09/20231209142758-c551_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2023/12/09/20231209142758-c551_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2023/12/09/20231209142841-f3d6_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/12/09/20231209143902-c52b_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/12/09/20231209143928-06e0_wm.jpg']","Do không có nhu cầu sử dụng chủ nhà gửi bán căn biệt thự song lập 150m², Hải Âu 3 đối diện với khu phố(chợ đêm)tương lai sẽ là cụm phố kinh doanh doanh sầm uất nhất dự án Vinhomes Ocean Park.Vị trí nằm đối diện cụm phố chợ đêm HA16, gần TTTM Vincom, biển nước mặn, nhà để xe 5 tầng.Diện tích 150m². Mặt tiền 8,5m. Xây dựng 60m²/sàn, xây 3,5 tầng. Hướng nhà Đông Nam thoáng mát. Sổ đỏ chính chủ. Khách hàng quan tâm LH 0948 259 *** để được xem nhà trự..."
38872998,"10 căn cắt lỗ hàng chuyển nhượng 1pn - 3pn tại Vin Smart City - Khu S, Gs, Sa, Impe, Tonkin, Mas","·
Nam Từ Liêm, Hà Nội",08/01/2024,"2,18 tỷ",54 m²,"40,37 tr/m²",2,2,‎Ngọc,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/10-cat-lo-hang-chuyen-nhuong-1pn-3pn-tai-vin-khu-s-gs-sa-impe-tonkin-mas-pr38872998,,https://file4.batdongsan.com.vn/crop/562x284/2023/12/25/20231225154625-5fa4_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2023/12/25/20231225154625-5fa4_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2023/12/25/20231225154626-ff2f_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/12/25/20231225154626-eec8_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/12/25/20231225154626-a2b2_wm.jpg']","Anh chị ơi! Bên em chuyên hàng chuyển nhượng tại Vin Smart City. Hiện có 1 số căn giá cắt lỗ từ 1PN - 3PN của các khách hàng đã mua trước kia. Giá cực kỳ tốt luôn ạ.- Chủ nhà vẫn hỗ trợ để khách mới vay nếu như có nhu cầu vay ạ.- Về vấn về pháp lý và thủ tục thì bên em là doanh nghiệp, có pháp nhân đại diện cho pháp luật đàng hoàng nên Anh chị chủ nhà hay khách mua đều rất yên tâm ạ. Và bên em làm trọn gói đến khi Anh chị về nhà mới và hỗ trợ bất..."
38431821,"Mở bán căn hộ Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh. Cách Phú Mỹ Hưng 6km","·
Bình Chánh, Hồ Chí Minh",08/01/2024,"3,4 tỷ",82 m²,"41,46 tr/m²",2,2,‎Sàn Gd Bđs Nam Long,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-binh-hung-1-prj-mizuki-park/mo-ban-chanh-cach-phu-my-6km-pr38431821,,https://file4.batdongsan.com.vn/crop/562x284/2023/10/30/20231030104041-0aeb_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2023/10/30/20231030104041-0aeb_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2023/10/30/20231030104042-efaf_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/10/30/20231030104042-b2f0_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/10/30/20231030104056-79ab_wm.jpg']","Mở bán căn hộ Mizuki Park. * Vị trí: Khu đô thị Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh. Cách Phú Mỹ Hưng 6km. * Thiết kế đa dạng: Phân Khu MP9 - MPX - Chỉ 7 căn hộ/ tầng (cao 14 tầng). - 82m², 2PN, 2PN balcon - vị trí góc - giá chỉ từ: 3,4 tỷ/căn. - 95m², 3PN, 2PN Balcon - vị trí Góc - Giá chỉ từ: 4,1 Tỷ/Căn.Phân Khu Panorama - (Cao 14 tầng). - 85m², 2PN, 2PN Balcon - Giá chỉ từ: 3,9 Tỷ/Căn. - 99m², 3PN, 2PN Balcon - vị trí Góc - Giá..."
38966190,Bán căn hộ 4 phòng ngủ tòa W2 tầng trung - Vinhomes West Point Phạm Hùng sổ đỏ chính chủ,"·
Nam Từ Liêm, Hà Nội",08/01/2024,"11,1 tỷ","142,7 m²","77,79 tr/m²",4,3,‎Chị Vân Anh,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-pham-hung-phuong-me-tri-prj-vinhomes-west-point/ban-4-png-ngu-toa-w2-tang-trung-vinmes-so-do-chinh-chu-pr38966190,,https://file4.batdongsan.com.vn/crop/562x284/2024/01/08/20240108151758-e7ca_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2024/01/08/20240108151758-e7ca_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2024/01/08/20240108152659-2ea6_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/08/20240108152659-cb64_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/08/20240108152700-5467_wm.jpg']","Bán căn hộ 4 phòng ngủ tòa W2 tầng trung - Vinhomes West Point Phạm Hùng sổ đỏ chính chủ: Căn hộ được thiết kế 4 phòng ngủ, 3 WC, tối ưu công năng sử dụng. Diện tích tim tường trên sổ đỏ: 142,7m². Là căn góc, tất cả các phòng đều đầy đủ ánh sáng, ban công view bể bơi nội khu và Bảo tàng Hà Nội. Full nội thất đầy đủ trong căn hộ: Bếp từ, lò vi sóng, lò nướng, máy rửa bát (đều của Boss), máy giặt, máy sấy. Tất cả đều được thiết kế âm nên nhìn rất s..."
38967204,(Giá mềm) Soha Land cập nhật quỹ bán căn hộ chung cư 1PN 2PN 3PN Vinhomes D'Capitale Trần Duy Hưng,"·
Cầu Giấy, Hà Nội",08/01/2024,Giá thỏa thuận,60 m²,,2,1,‎Pham Thanh,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-vinhomes-d-capitale/-gia-mem-soha-land-cap-nhat-quy-ban-1pn-2pn-3pn-vinmes-dcapitale-hung-pr38967204,https://file4.batdongsan.com.vn/resize/200x200/2022/09/27/20220927143640-b591.jpg,https://file4.batdongsan.com.vn/crop/562x284/2023/06/17/20230617131829-0e6c_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2023/06/17/20230617131829-0e6c_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2023/07/13/20230713154028-bcc1_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/07/06/20230706172004-169a_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2023/06/17/20230617131733-c260_wm.jpg']","Cập nhật quỹ căn mới nhất - liên hệ 0979 407 *** để chọn mua được căn hộ phù hợp, ưng ý. Chung cư cao cấp Vinhomes D'Capitale 119 Trần Duy Hưng, phường Trung Hòa, quận Cầu Giấy, Hà Nội (nằm ngay đối diện Big C Thăng Long). * Vận hành và quản lý bởi Vinhomes.* Quỹ có sổ hồng/đỏ lâu dài: - 1PN 1PK, 1WC, 2 ban công, 57m², trục duy nhất tại dự án là 1 ngủ có sổ đỏ: 4.2 tỷ. - 2PN, 2WC, 2 ban công, 72m²: 4.35 tỷ - full đồ, đến 5 tỷ. - 2PN, 2WC, 2 ban côn..."
38967015,"CĐT mở bán quỹ căn view hồ & công viên đẹp nhất dự án. CK lên tới 16.5%, từ 300tr kí HĐMB, HTLS 0%","·
Long Biên, Hà Nội",08/01/2024,"3,4 tỷ",76 m²,"44,74 tr/m²",2,,‎Nguyễn Phương Ly,https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/cdt-mo-ban-quy-view-cong-vien-dep-nhat-du-an-ck-len-toi-16-5-tu-300tr-ki-hdmb-htls-0-pr38967015,https://file4.batdongsan.com.vn/resize/200x200/2020/04/19/20200419100819-c52f.jpg,https://file4.batdongsan.com.vn/crop/562x284/2024/01/08/20240108162638-f00e_wm.jpg,"['https://file4.batdongsan.com.vn/crop/562x284/2024/01/08/20240108162638-f00e_wm.jpg', 'https://file4.batdongsan.com.vn/crop/283x141/2024/01/08/20240108162642-9e1c_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/08/20240108162718-acd9_wm.jpg', 'https://file4.batdongsan.com.vn/crop/140x140/2024/01/08/20240108162718-fb1f_wm.jpg']","Trực tiếp CĐT mở bán quỹ căn view hồ đẹp nhất tháng 1/2024. Booking ra hàng tòa K5, K6, K6A siêu đẹp, 20 suất chiết khấu khủng lên tới 17,5%, đặt cọc thiện chí 10tr giữ ngay căn đông nam đẹp nhất bảng hàng. Giá chỉ 3,4 tỷ.Mời quý anh Chị Liên hệ ngay Ms. Phương Ly 0989 852 *** để nhận thông tin chi tiết. ---------- * Chính sách ưu đãi tháng 1/2024: + Hỗ trợ vay 65% lãi suất 0% 15 tháng. + Chiết khấu thanh toán sớm 5,5% Giá căn hộ. + Tặng gói hoàn..."
